#number jobs
50

#processing times
1 9
2 6
3 7
4 10
5 4
6 6
7 3
8 3
9 3
10 1
11 7
12 8
13 3
14 2
15 7
16 5
17 2
18 6
19 6
20 5
21 7
22 10
23 6
24 9
25 3
26 5
27 6
28 7
29 10
30 6
31 7
32 6
33 3
34 8
35 3
36 8
37 9
38 10
39 8
40 10
41 8
42 5
43 3
44 1
45 4
46 7
47 10
48 8
49 1
50 7

#precedence constraints
1 21
1 41
2 33
2 13
2 50
3 34
3 50
3 4
4 13
5 13
5 43
5 49
7 12
7 22
7 35
7 48
8 13
8 15
8 17
12 46
13 14
13 24
13 34
14 44
17 18
17 28
17 34
18 24
20 40
21 46
22 33
23 31
25 28
27 34
29 42
31 43
31 48
32 45
33 38
34 44
36 49
37 43
38 43
41 43
42 46
43 45
